epoch,train_loss,val_loss,train_f1,val_f1,end_step
1,0.5994527987514933,0.516730890257491,0.7407423812179844,0.7781201115113401,1440
2,0.45976044423878193,0.4659670309887992,0.8130660313758712,0.8129978674721325,2880
3,0.3494346113978989,0.4629266621751918,0.8680288697684415,0.8255684212218722,4320
