step,epoch,loss
1,1,1.1191710233688354
2,1,1.0852246284484863
3,1,1.0854915380477905
4,1,1.1046370267868042
5,1,1.1171445846557617
6,1,1.1018166542053223
7,1,1.1009643077850342
8,1,1.09397554397583
9,1,1.1186350584030151
10,1,1.0934886932373047
11,1,1.1153831481933594
12,1,1.0871890783309937
13,1,1.075786828994751
14,1,1.1056219339370728
15,1,1.0863583087921143
16,1,1.0937128067016602
17,1,1.0964213609695435
18,1,1.1298319101333618
19,1,1.0762418508529663
20,1,1.0969383716583252
21,1,1.0870137214660645
22,1,1.08733332157135
23,1,1.1107679605484009
24,1,1.0855953693389893
25,1,1.1087770462036133
26,1,1.1155129671096802
27,1,1.1092442274093628
28,1,1.0814180374145508
29,1,1.1134834289550781
30,1,1.0880235433578491
31,1,1.1141692399978638
32,1,1.1170165538787842
33,1,1.0849322080612183
34,1,1.0910913944244385
35,1,1.100207805633545
36,1,1.0981194972991943
37,1,1.1120487451553345
38,1,1.103576421737671
39,1,1.099509358406067
40,1,1.1010183095932007
41,1,1.1018813848495483
42,1,1.097762942314148
43,1,1.0943647623062134
44,1,1.0962339639663696
45,1,1.0974860191345215
46,1,1.1098600625991821
47,1,1.0888434648513794
48,1,1.0956059694290161
49,1,1.086266279220581
50,1,1.0891977548599243
51,1,1.0995482206344604
52,1,1.0950835943222046
53,1,1.0880146026611328
54,1,1.0961695909500122
55,1,1.1001942157745361
56,1,1.0862871408462524
57,1,1.101139783859253
58,1,1.0986981391906738
59,1,1.0977678298950195
60,1,1.0928226709365845
61,1,1.1015737056732178
62,1,1.0944846868515015
63,1,1.0843091011047363
64,1,1.1028467416763306
65,1,1.0913056135177612
66,1,1.0887303352355957
67,1,1.0914478302001953
68,1,1.0826170444488525
69,1,1.0875405073165894
70,1,1.094029188156128
71,1,1.0949392318725586
72,1,1.0768067836761475
73,1,1.0941123962402344
74,1,1.079461693763733
75,1,1.0825330018997192
76,1,1.0879403352737427
77,1,1.1025238037109375
78,1,1.0852364301681519
79,1,1.093194842338562
80,1,1.0929216146469116
81,1,1.076312780380249
82,1,1.0905778408050537
83,1,1.0830549001693726
84,1,1.0844435691833496
85,1,1.0855529308319092
86,1,1.0737152099609375
87,1,1.0729377269744873
88,1,1.061996340751648
89,1,1.0746870040893555
90,1,1.064335584640503
91,1,1.0635682344436646
92,1,1.0563069581985474
93,1,1.0437644720077515
94,1,1.0512511730194092
95,1,0.9991613626480103
96,1,1.0075287818908691
97,1,1.006146788597107
98,1,0.9985515475273132
99,1,0.9662374258041382
100,1,0.9434409141540527
101,1,0.9248362183570862
102,1,0.9249891638755798
103,1,0.9387907981872559
104,1,0.8919231295585632
105,1,0.907253086566925
106,1,0.8701967000961304
107,1,0.826655387878418
108,1,0.7804974317550659
109,1,0.8305454850196838
110,1,0.9119040369987488
111,1,0.857332706451416
112,1,0.7834314107894897
113,1,0.8887283205986023
114,1,0.7724434733390808
115,1,0.9337485432624817
116,1,0.8239421844482422
117,1,0.854882538318634
118,1,0.8039183616638184
119,1,0.7876913547515869
120,1,0.8311206102371216
121,1,0.8427007794380188
122,1,0.8347470760345459
123,1,0.8985233902931213
124,1,0.8239193558692932
125,1,0.692035973072052
126,1,0.7171196341514587
127,1,0.7760628461837769
128,1,0.8459863662719727
129,1,0.9740933775901794
130,1,0.682365894317627
131,1,0.741089940071106
132,1,0.8203744292259216
133,1,0.8751800060272217
134,1,0.7600391507148743
135,1,0.7428078651428223
136,1,0.8559818267822266
137,1,0.7267475128173828
138,1,0.700916588306427
139,1,0.8352150917053223
140,1,0.6883109211921692
141,1,0.817836344242096
142,1,0.738456130027771
143,1,0.6988974213600159
144,1,0.7146753668785095
145,1,0.7406912446022034
146,1,0.7284234762191772
147,1,0.5465700030326843
148,1,0.6821391582489014
149,1,0.8042528033256531
150,1,0.9133909344673157
151,1,0.7410680055618286
152,1,0.7730100750923157
153,1,0.6321042776107788
154,1,0.8055517673492432
155,1,0.8563618063926697
156,1,0.8673223853111267
157,1,0.5597348213195801
158,1,0.8397514820098877
159,1,0.8785937428474426
160,1,0.769870936870575
161,1,0.6668689250946045
162,1,0.6844231486320496
163,1,0.743344783782959
164,1,0.6491783857345581
165,1,0.6800285577774048
166,1,0.7283071279525757
167,1,0.5865383148193359
168,1,0.6897714138031006
169,1,0.764850378036499
170,1,0.6567960977554321
171,1,0.7724245190620422
172,1,0.7646259069442749
173,1,0.7724394798278809
174,1,0.6691906452178955
175,1,0.6163941621780396
176,1,0.7952541708946228
177,1,0.6839006543159485
178,1,0.7076076865196228
179,1,0.6902368664741516
180,1,0.7052417397499084
181,1,0.6401828527450562
182,1,0.6533929705619812
183,1,0.8867928981781006
184,1,0.7392510771751404
185,1,0.5279812812805176
186,1,0.7523306012153625
187,1,0.7979573011398315
188,1,0.7050729393959045
189,1,0.6822687387466431
190,1,0.595648467540741
191,1,0.7618643045425415
192,1,0.5983137488365173
193,1,0.7936892509460449
194,1,0.6981188654899597
195,1,0.7327479720115662
196,1,0.785973072052002
197,1,0.63038170337677
198,1,0.5881254076957703
199,1,0.9031375646591187
200,1,0.6210155487060547
201,1,0.707047700881958
202,1,0.6743865609169006
203,1,0.7095142602920532
204,1,0.6329382061958313
205,1,0.6611548066139221
206,1,0.5531359910964966
207,1,0.8699414134025574
208,1,0.6655905842781067
209,1,0.58338862657547
210,1,0.7713169455528259
211,1,0.7062681913375854
212,1,0.7542093992233276
213,1,0.6638942956924438
214,1,0.7744696736335754
215,1,0.6910361051559448
216,1,0.6440905928611755
217,1,0.569343090057373
218,1,0.6701943278312683
219,1,0.48240742087364197
220,1,0.7871798276901245
221,1,0.8172494769096375
222,1,0.6727089881896973
223,1,0.783013105392456
224,1,0.707808792591095
225,1,0.654533863067627
226,1,0.7632454633712769
227,1,0.563865065574646
228,1,0.4952123165130615
229,1,0.58088219165802
230,1,0.7960241436958313
231,1,0.6604135632514954
232,1,0.6975983381271362
233,1,0.6565282344818115
234,1,0.8038371205329895
235,1,0.550695538520813
236,1,0.6069719195365906
237,1,0.7434749007225037
238,1,0.5317210555076599
239,1,0.8130415678024292
240,1,0.6398451924324036
241,1,0.6500581502914429
242,1,0.598917543888092
243,1,0.45275479555130005
244,1,0.5808495879173279
245,1,0.7172958254814148
246,1,0.8036134243011475
247,1,0.8343403935432434
248,1,0.6394863128662109
249,1,0.728437066078186
250,1,0.5533585548400879
251,1,0.5546450614929199
252,1,0.677219569683075
253,1,0.5853515863418579
254,1,0.5284043550491333
255,1,0.6263552308082581
256,1,0.7027621269226074
257,1,0.5566979050636292
258,1,0.6564102172851562
259,1,0.68717360496521
260,1,0.7325146198272705
261,1,0.5890655517578125
262,1,0.6240979433059692
263,1,0.6163185238838196
264,1,0.6385821104049683
265,1,0.6451993584632874
266,1,0.65216064453125
267,1,0.650200605392456
268,1,0.6010316610336304
269,1,0.618201732635498
270,1,0.7843873500823975
271,1,0.7163480520248413
272,1,0.5577282905578613
273,1,0.5888986587524414
274,1,0.7570278644561768
275,1,0.6144675016403198
276,1,0.6259813904762268
277,1,0.6755905151367188
278,1,0.8388492465019226
279,1,0.6920293569564819
280,1,0.586799681186676
281,1,0.5943374037742615
282,1,0.4426175355911255
283,1,0.7688056230545044
284,1,0.801266610622406
285,1,0.5550167560577393
286,1,0.6485488414764404
287,1,0.7089556455612183
288,1,0.6348922848701477
289,1,0.7148251533508301
290,1,0.6800644993782043
291,1,0.5928390026092529
292,1,0.5410606265068054
293,1,0.5769663453102112
294,1,0.6170687675476074
295,1,0.5670856237411499
296,1,0.6276882886886597
297,1,0.7126603126525879
298,1,0.6852524876594543
299,1,0.7438084483146667
300,1,0.766398012638092
301,1,0.4927560091018677
302,1,0.6432591676712036
303,1,0.6418614387512207
304,1,0.53782719373703
305,1,0.6108487844467163
306,1,0.6829115748405457
307,1,0.5658214092254639
308,1,0.732275128364563
309,1,0.5723199248313904
310,1,0.5960063338279724
311,1,0.7037923336029053
312,1,0.5671197175979614
313,1,0.7493648529052734
314,1,0.6780720353126526
315,1,0.5562238693237305
316,1,0.6320629119873047
317,1,0.7752938270568848
318,1,0.704420804977417
319,1,0.611308217048645
320,1,0.5677428245544434
321,1,0.7790989279747009
322,1,0.5647724866867065
323,1,0.6859214901924133
324,1,0.7564244866371155
325,1,0.6608742475509644
326,1,0.4853094816207886
327,1,0.5740405321121216
328,1,0.5959492921829224
329,1,0.6218419075012207
330,1,0.5712532997131348
331,1,0.6972302794456482
332,1,0.5901613235473633
333,1,0.7268528342247009
334,1,0.6145595908164978
335,1,0.6706369519233704
336,1,0.591727614402771
337,1,0.7650858759880066
338,1,0.6399012804031372
339,1,0.6479223966598511
340,1,0.6906107068061829
341,1,0.609568178653717
342,1,0.7654904723167419
343,1,0.6307101249694824
344,1,0.686663031578064
345,1,0.6356709003448486
346,1,0.48609402775764465
347,1,0.7772729396820068
348,1,0.6016685366630554
349,1,0.636724054813385
350,1,0.6309797167778015
351,1,0.6334316730499268
352,1,0.6443701386451721
353,1,0.5890041589736938
354,1,0.8188502192497253
355,1,0.4969174563884735
356,1,0.8331455588340759
357,1,0.8200459480285645
358,1,0.7855063080787659
359,1,0.6722447872161865
360,1,0.528125524520874
361,1,0.7071545720100403
362,1,0.7061415910720825
363,1,0.755685031414032
364,1,0.791827917098999
365,1,0.7156151533126831
366,1,0.5543433427810669
367,1,0.6261405944824219
368,1,0.7068644762039185
369,1,0.6348975300788879
370,1,0.5603448152542114
371,1,0.637944221496582
372,1,0.6605588793754578
373,1,0.8397310376167297
374,1,0.6105180978775024
375,1,0.5913947820663452
376,1,0.7176302671432495
377,1,0.5862789154052734
378,1,0.6142444014549255
379,1,0.682270884513855
380,1,0.5943934321403503
381,1,0.6061382293701172
382,1,0.7007328867912292
383,1,0.5773267149925232
384,1,0.6667019724845886
385,1,0.511239767074585
386,1,0.7230536341667175
387,1,0.8972784280776978
388,1,0.6681076288223267
389,1,0.7637129426002502
390,1,0.5314247608184814
391,1,0.5964980125427246
392,1,0.5521522760391235
393,1,0.641477644443512
394,1,0.7477115392684937
395,1,0.7476457357406616
396,1,0.7731321454048157
397,1,0.6158770322799683
398,1,0.6920878887176514
399,1,0.6271013617515564
400,1,0.5766090154647827
401,1,0.67332923412323
402,1,0.7506319880485535
403,1,0.6227515935897827
404,1,0.5177637934684753
405,1,0.7226932644844055
406,1,0.7048079371452332
407,1,0.521437406539917
408,1,0.5837316513061523
409,1,0.49041420221328735
410,1,0.5186503529548645
411,1,0.529979944229126
412,1,0.6557793617248535
413,1,0.544437050819397
414,1,0.5769457817077637
415,1,0.6008055806159973
416,1,0.6764839291572571
417,1,0.7755241990089417
418,1,0.7106005549430847
419,1,0.5658985376358032
420,1,0.5757558941841125
421,1,0.7882679104804993
422,1,0.8132285475730896
423,1,0.5224133133888245
424,1,0.4399707317352295
425,1,0.7269433736801147
426,1,0.6900869011878967
427,1,0.6069822907447815
428,1,0.5962849855422974
429,1,0.6162211894989014
430,1,0.710091769695282
431,1,0.5997763276100159
432,1,0.7860946655273438
433,1,0.45654478669166565
434,1,0.6920360326766968
435,1,0.6176615953445435
436,1,0.5398693084716797
437,1,0.6458264589309692
438,1,0.5757265090942383
439,1,0.6366910338401794
440,1,0.49638205766677856
441,1,0.6512542366981506
442,1,0.6154491901397705
443,1,0.6870392560958862
444,1,0.5886491537094116
445,1,0.6203380823135376
446,1,0.6491105556488037
447,1,0.6519337296485901
448,1,0.5701572299003601
449,1,0.6347103714942932
450,1,0.47300979495048523
451,1,0.6326007843017578
452,1,0.5920408964157104
453,1,0.5879418253898621
454,1,0.6261546611785889
455,1,0.45791393518447876
456,1,0.6613931655883789
457,1,0.6310760378837585
458,1,0.48783445358276367
459,1,0.49642589688301086
460,1,0.4149625599384308
461,1,0.8557714819908142
462,1,0.7394958138465881
463,1,0.6456783413887024
464,1,0.5698086619377136
465,1,0.7610561847686768
466,1,0.42639583349227905
467,1,0.6950498819351196
468,1,0.62503981590271
469,1,0.6927917003631592
470,1,0.8017253875732422
471,1,0.5228208303451538
472,1,0.5900503396987915
473,1,0.7061730623245239
474,1,0.6010411381721497
475,1,0.595564603805542
476,1,0.5962737798690796
477,1,0.6775079965591431
478,1,0.5756059885025024
479,1,0.7716346979141235
480,1,0.6259306073188782
481,1,0.7501241564750671
482,1,0.5817095637321472
483,1,0.6460214257240295
484,1,0.6693820953369141
485,1,0.5879561305046082
486,1,0.6630427241325378
487,1,0.6361359357833862
488,1,0.5534355640411377
489,1,0.5527007579803467
490,1,0.588300347328186
491,1,0.6355265974998474
492,1,0.5355373024940491
493,1,0.7023096084594727
494,1,0.6181202530860901
495,1,0.5769113302230835
496,1,0.5628787279129028
497,1,0.8226943016052246
498,1,0.5747326016426086
499,1,0.7463685274124146
500,1,0.8013827204704285
501,1,0.6253993511199951
502,1,0.6834568977355957
503,1,0.555634081363678
504,1,0.5282426476478577
505,1,0.5308941602706909
506,1,0.617595374584198
507,1,0.6523714065551758
508,1,0.7802118062973022
509,1,0.6913528442382812
510,1,0.6022448539733887
511,1,0.4564337730407715
512,1,0.6101822853088379
513,1,0.6565751433372498
514,1,0.5848914384841919
515,1,0.6435666680335999
516,1,0.6973655819892883
517,1,0.750978410243988
518,1,0.5925269722938538
519,1,0.5493364930152893
520,1,0.5976036787033081
521,1,0.5928903818130493
522,1,0.8404504656791687
523,1,0.7226839661598206
524,1,0.6321617364883423
525,1,0.5893822312355042
526,1,0.509719729423523
527,1,0.6051116585731506
528,1,0.6596935391426086
529,1,0.5551452040672302
530,1,0.5912829041481018
531,1,0.5193161368370056
532,1,0.6336201429367065
533,1,0.6177706122398376
534,1,0.6210252642631531
535,1,0.5042296648025513
536,1,0.4926060140132904
537,1,0.6348641514778137
538,1,0.732866644859314
539,1,0.6390366554260254
540,1,0.6209267973899841
541,1,0.6501824855804443
542,1,0.6829140782356262
543,1,0.6052125692367554
544,1,0.7539167404174805
545,1,0.6410560607910156
546,1,0.7333841323852539
547,1,0.6281631588935852
548,1,0.6562994718551636
549,1,0.6272085905075073
550,1,0.5988718867301941
551,1,0.6412842869758606
552,1,0.5293887257575989
553,1,0.5073382258415222
554,1,0.48521456122398376
555,1,0.45471200346946716
556,1,0.3869198262691498
557,1,0.6850459575653076
558,1,0.633112907409668
559,1,0.7420950531959534
560,1,0.5895142555236816
561,1,0.7373369932174683
562,1,0.6368942856788635
563,1,0.3986721932888031
564,1,0.5432637929916382
565,1,0.586906909942627
566,1,0.5539461970329285
567,1,0.5496054291725159
568,1,0.7433051466941833
569,1,0.5998303294181824
570,1,0.5825098752975464
571,1,0.5421580672264099
572,1,0.6024670600891113
573,1,0.5925694704055786
574,1,0.5366698503494263
575,1,0.6450796723365784
576,1,0.624911904335022
577,1,0.6127762794494629
578,1,0.5963580012321472
579,1,0.6746319532394409
580,1,0.5993511080741882
581,1,0.6295112371444702
582,1,0.6246901154518127
583,1,0.5016329884529114
584,1,0.6337293982505798
585,1,0.802013635635376
586,1,0.6649990677833557
587,1,0.5521427392959595
588,1,0.5980600714683533
589,1,0.6720611453056335
590,1,0.6434445381164551
591,1,0.5888285040855408
592,1,0.545657217502594
593,1,0.6733517646789551
594,1,0.5620284676551819
595,1,0.5630506873130798
596,1,0.5665585994720459
597,1,0.4804610013961792
598,1,0.6198975443840027
599,1,0.5740516781806946
600,1,0.43861737847328186
601,1,0.8499218821525574
602,1,0.5243754386901855
603,1,0.8094883561134338
604,1,0.5505273342132568
605,1,0.6060720682144165
606,1,0.5667428374290466
