step,epoch,loss
1,1,1.1223161220550537
2,1,1.0953142642974854
3,1,1.113848328590393
4,1,1.0892362594604492
5,1,1.0862267017364502
6,1,1.1074236631393433
7,1,1.1028028726577759
8,1,1.1195228099822998
9,1,1.1085916757583618
10,1,1.1122112274169922
11,1,1.0913851261138916
12,1,1.1070600748062134
13,1,1.1032131910324097
14,1,1.1078474521636963
15,1,1.1102793216705322
16,1,1.10677969455719
17,1,1.0996180772781372
18,1,1.1024088859558105
19,1,1.0919996500015259
20,1,1.1030360460281372
21,1,1.0991681814193726
22,1,1.0864067077636719
23,1,1.099412441253662
24,1,1.0918834209442139
25,1,1.1056545972824097
26,1,1.093860387802124
27,1,1.0914323329925537
28,1,1.091233491897583
29,1,1.1001551151275635
30,1,1.1036841869354248
31,1,1.1051528453826904
32,1,1.096320629119873
33,1,1.1057837009429932
34,1,1.0980963706970215
35,1,1.1063950061798096
36,1,1.1089556217193604
37,1,1.098402738571167
38,1,1.1088480949401855
39,1,1.0996819734573364
40,1,1.0873610973358154
41,1,1.0987476110458374
42,1,1.0894355773925781
43,1,1.0993536710739136
44,1,1.1046490669250488
45,1,1.0898927450180054
46,1,1.0995497703552246
47,1,1.094957709312439
48,1,1.0899503231048584
49,1,1.0883666276931763
50,1,1.1017643213272095
51,1,1.0965135097503662
52,1,1.103315830230713
53,1,1.0951157808303833
54,1,1.0961194038391113
55,1,1.1022834777832031
56,1,1.0925565958023071
57,1,1.1005715131759644
58,1,1.0956801176071167
59,1,1.0923329591751099
60,1,1.0872114896774292
61,1,1.1002459526062012
62,1,1.0991297960281372
63,1,1.0938574075698853
64,1,1.0966066122055054
65,1,1.0902312994003296
66,1,1.0967419147491455
67,1,1.0903329849243164
68,1,1.0922386646270752
69,1,1.0815765857696533
70,1,1.0906226634979248
71,1,1.09597647190094
72,1,1.0841046571731567
73,1,1.089989423751831
74,1,1.0893741846084595
75,1,1.098983645439148
76,1,1.0963841676712036
77,1,1.0877469778060913
78,1,1.0989760160446167
79,1,1.0864884853363037
80,1,1.091983675956726
81,1,1.0972648859024048
82,1,1.0876740217208862
83,1,1.0889227390289307
84,1,1.0839953422546387
85,1,1.0926593542099
86,1,1.0979628562927246
87,1,1.0951379537582397
88,1,1.0813490152359009
89,1,1.095272183418274
90,1,1.0920647382736206
91,1,1.0909472703933716
92,1,1.0996429920196533
93,1,1.076025366783142
94,1,1.097062587738037
95,1,1.0921871662139893
96,1,1.096088171005249
97,1,1.0654950141906738
98,1,1.0936442613601685
99,1,1.0680115222930908
100,1,1.0775949954986572
101,1,1.0969390869140625
102,1,1.0913801193237305
103,1,1.1193124055862427
104,1,1.0978950262069702
105,1,1.075467586517334
106,1,1.0671011209487915
107,1,1.0866793394088745
108,1,1.0966373682022095
109,1,1.0803821086883545
110,1,1.0706523656845093
111,1,1.0605262517929077
112,1,1.0588741302490234
113,1,1.0659724473953247
114,1,1.0718010663986206
115,1,1.0751975774765015
116,1,1.0708320140838623
117,1,1.069786548614502
118,1,1.0834523439407349
119,1,1.070992112159729
120,1,1.077472448348999
121,1,1.0548228025436401
122,1,1.0479685068130493
123,1,1.060320258140564
124,1,1.0442712306976318
125,1,1.0723178386688232
126,1,1.0620567798614502
127,1,1.0486286878585815
128,1,1.0313862562179565
129,1,1.0370023250579834
130,1,1.0477302074432373
131,1,1.0464832782745361
132,1,1.081473708152771
133,1,1.069155216217041
134,1,1.0663009881973267
135,1,1.0529650449752808
136,1,0.9931592345237732
137,1,1.0178465843200684
138,1,1.021429181098938
139,1,1.0250002145767212
140,1,0.9863744974136353
141,1,1.0273123979568481
142,1,1.011930227279663
143,1,0.9714638590812683
144,1,0.9668213725090027
145,1,0.9994252324104309
146,1,0.9689413905143738
147,1,1.0393831729888916
148,1,1.0225120782852173
149,1,0.9862847328186035
150,1,0.9353808760643005
151,1,0.9151726961135864
152,1,0.945399820804596
153,1,0.9455365538597107
154,1,0.9085589647293091
155,1,1.0054569244384766
156,1,0.9238994121551514
157,1,0.9816057085990906
158,1,0.9346263408660889
159,1,0.8797253966331482
160,1,0.9757870435714722
161,1,0.938744068145752
162,1,0.9427156448364258
163,1,0.9905580878257751
164,1,0.9623497724533081
165,1,0.9455723762512207
166,1,0.9048088788986206
167,1,0.8884649872779846
168,1,0.9489184617996216
169,1,0.8833985924720764
170,1,0.8246219158172607
171,1,0.9377927780151367
172,1,1.0280150175094604
173,1,0.8379226326942444
174,1,0.9113138318061829
175,1,0.9073824882507324
176,1,0.8841558694839478
177,1,0.9553118348121643
178,1,0.7193299531936646
179,1,0.8514137864112854
180,1,0.8794517517089844
181,1,0.8493799567222595
182,1,0.9369939565658569
183,1,0.8784147500991821
184,1,0.8748860955238342
185,1,0.8472000360488892
186,1,0.8996821045875549
187,1,0.8569000363349915
188,1,0.8237560987472534
189,1,0.916670560836792
190,1,0.8409581780433655
191,1,0.815493643283844
192,1,0.8296502828598022
193,1,0.9164609313011169
194,1,0.8022543787956238
195,1,0.9218915104866028
196,1,0.7972049117088318
197,1,0.8773289322853088
198,1,0.848311185836792
199,1,0.8724567890167236
200,1,0.7310512661933899
201,1,0.8259212970733643
202,1,0.8219451308250427
203,1,0.7673850655555725
204,1,0.760752260684967
205,1,0.8306334614753723
206,1,0.9449512362480164
207,1,0.825581967830658
208,1,0.8465955853462219
209,1,0.7201198935508728
210,1,0.8737232685089111
211,1,0.7613924741744995
212,1,0.8356890678405762
213,1,0.8973823189735413
214,1,0.9012748599052429
215,1,0.9159181118011475
216,1,0.8107345700263977
217,1,0.72867351770401
218,1,0.9487008452415466
219,1,0.8567672371864319
220,1,0.7835992574691772
221,1,0.8531308174133301
222,1,0.8565661907196045
223,1,0.8474718928337097
224,1,0.8192434310913086
225,1,0.7391360402107239
226,1,0.8193054795265198
227,1,0.7733232975006104
228,1,0.8170529007911682
229,1,0.8382868766784668
230,1,0.8078282475471497
231,1,0.7955268621444702
232,1,0.9004316329956055
233,1,0.7716319561004639
234,1,0.7082078456878662
235,1,0.7378666996955872
236,1,1.030790090560913
237,1,0.9113840460777283
238,1,0.9205472469329834
239,1,0.7433387041091919
240,1,0.8270903825759888
241,1,0.7678015232086182
242,1,0.8284820318222046
243,1,0.9921107292175293
244,1,0.9186163544654846
245,1,0.8927314281463623
246,1,0.8003343939781189
247,1,0.6922752261161804
248,1,0.8815801739692688
249,1,0.9172314405441284
250,1,0.7768101096153259
251,1,0.8419740200042725
252,1,0.8878977298736572
253,1,0.8004128336906433
254,1,0.8201112151145935
255,1,0.7881565093994141
256,1,0.7695330381393433
257,1,0.8127164244651794
258,1,0.7739201784133911
259,1,0.8169616460800171
260,1,0.6912217140197754
261,1,0.7404064536094666
262,1,0.8715143799781799
263,1,0.7952485680580139
264,1,0.9809325337409973
265,1,0.8199551105499268
266,1,0.8585284352302551
267,1,0.8319640159606934
268,1,0.8388137817382812
269,1,0.7872270345687866
270,1,0.7398073077201843
271,1,0.6934256553649902
272,1,0.6568551063537598
273,1,0.8400380611419678
274,1,0.8347660899162292
275,1,0.6668532490730286
276,1,0.7123624682426453
277,1,0.7066592574119568
278,1,0.8563374280929565
279,1,0.7649305462837219
280,1,0.6031309366226196
281,1,0.8085370659828186
282,1,0.9575939178466797
283,1,0.96184241771698
284,1,0.8410677909851074
285,1,0.7652486562728882
286,1,0.7206673622131348
287,1,0.7771917581558228
288,1,0.7716611623764038
289,1,0.8260562419891357
290,1,0.7472990155220032
